rating,genre,theater_date,dvd_date,runtime,year
R,Drama|Musical and Performing Arts,"Dec 5, 2008","Mar 10, 2009",108 minutes,2008
NR,Classics|Drama|Mystery and Suspense,"Jul 24, 1948","Sep 30, 2003",78 minutes,1948
R,Comedy|Science Fiction and Fantasy,"Jun 6, 1980","Feb 29, 2000",95 minutes,1980
PG,Art House and International|Drama,"Feb 12, 1982","May 1, 1991",98 minutes,1982
R,Art House and International|Drama,"Jan 16, 1998","Apr 10, 2001",120 minutes,1998
PG-13,Action and Adventure|Drama|Mystery and Suspense,"Feb 20, 2008","Jul 1, 2008",90 minutes,2008
PG-13,Mystery and Suspense|Science Fiction and Fantasy,"Aug 3, 2018","Oct 30, 2018",105 minutes,2018
NR,Classics|Drama|Musical and Performing Arts|Mystery and Suspense,"Jul 31, 1955","Jul 22, 2008",95 minutes,1955
NR,Documentary|Musical and Performing Arts,"Feb 1, 2013","Apr 7, 2014",108 minutes,2013
PG-13,Comedy,"Nov 7, 1997","Mar 31, 1998",92 minutes,1997
NR,Action and Adventure|Classics|Drama|Western,"Dec 29, 1948","May 24, 2005",60 minutes,1948
PG,Art House and International|Drama,"Dec 13, 2002","Apr 15, 2003",96 minutes,2002
PG-13,Action and Adventure|Drama,"Nov 16, 1990","Mar 18, 2003",105 minutes,1990
PG-13,Comedy,"Jun 29, 2001","Nov 27, 2001",70 minutes,2001
PG-13,Action and Adventure|Mystery and Suspense,"Jun 14, 2002","Jan 21, 2003",117 minutes,2002
NR,Art House and International|Comedy,"Jan 1, 1977","Dec 6, 2005",91 minutes,1977
NR,Mystery and Suspense,"Sep 10, 2010","Jun 26, 2012",90 minutes,2010
R,Action and Adventure,"Apr 4, 1981","Oct 19, 1999",100 minutes,1981
NR,Art House and International|Comedy|Drama,"Jan 12, 1977","Jan 8, 2002",108 minutes,1977
R,Classics|Drama,"Sep 11, 1968","Oct 17, 2006",120 minutes,1968
R,Action and Adventure|Horror|Science Fiction and Fantasy,"Jun 21, 1985","May 26, 1998",100 minutes,1985
PG-13,Action and Adventure|Science Fiction and Fantasy,"Jul 8, 2005","Dec 6, 2005",123 minutes,2005
R,Comedy|Drama|Mystery and Suspense,"Apr 19, 1991","Aug 8, 2000",102 minutes,1991
NR,Action and Adventure,"Jul 4, 1941","Mar 29, 2005",69 minutes,1941
R,Drama,"Jun 13, 1971","Feb 13, 2012",95 minutes,1971
NR,Action and Adventure|Classics|Comedy|Drama,"Dec 10, 1964","May 28, 2013",116 minutes,1964
R,Drama|Mystery and Suspense,"Nov 4, 1994","Sep 16, 2003",89 minutes,1994
PG,Action and Adventure|Animation|Science Fiction and Fantasy,"Mar 23, 2007","Aug 7, 2007",86 minutes,2007
PG,Action and Adventure|Kids and Family|Science Fiction and Fantasy,"Jul 31, 2009","Nov 3, 2009",86 minutes,2009
R,Action and Adventure|Horror,"Apr 21, 2006","Aug 22, 2006",125 minutes,2006
R,Drama|Horror|Mystery and Suspense,"Mar 27, 1981","Sep 25, 2007",85 minutes,1981
PG-13,Comedy|Romance,"Jun 10, 2011","Dec 20, 2011",94 minutes,2011
R,Comedy|Drama,"Sep 10, 1991","Mar 16, 1999",115 minutes,1991
PG,Action and Adventure|Comedy,"May 28, 1999","Aug 28, 2001",90 minutes,1999
R,Horror,"Nov 13, 1998","Aug 7, 2001",100 minutes,1998
PG,Drama,"Apr 30, 2004","Nov 30, 2004",128 minutes,2004
R,Mystery and Suspense|Romance,"Jan 1, 1971","Sep 18, 2001",102 minutes,1971
PG-13,Comedy|Drama,"Sep 14, 2001","Feb 19, 2002",115 minutes,2001
PG-13,Documentary|Musical and Performing Arts|Special Interest,"Jul 30, 2010","Oct 19, 2010",88 minutes,2010
PG-13,Action and Adventure,"Jan 17, 1986","May 22, 2001",117 minutes,1986
R,Comedy|Drama|Mystery and Suspense,"Apr 16, 1998","Nov 6, 2001",115 minutes,1998
NR,Art House and International|Drama|Romance,"Apr 9, 1986","Oct 12, 2004",121 minutes,1986
NR,Action and Adventure|Western|Romance,"Jul 17, 1946","Jun 9, 1998",91 minutes,1946
R,Art House and International|Documentary|Drama|Special Interest,"Oct 8, 2003","Jul 20, 2004",133 minutes,2003
R,Art House and International|Cult Movies|Drama,"Dec 31, 1976","Sep 12, 2006",110 minutes,1976
R,Comedy|Drama,"Jul 14, 2000","Jan 23, 2001",105 minutes,2000
PG,Action and Adventure|Animation|Comedy|Science Fiction and Fantasy,"Mar 11, 2011","Aug 9, 2011",88 minutes,2011
NR,Art House and International|Drama,"Aug 19, 2016","Jan 17, 2017",91 minutes,2016
NR,Comedy|Drama,"Apr 6, 2012","Sep 11, 2012",104 minutes,2012
PG,Drama,"Dec 9, 1987","Nov 6, 2001",153 minutes,1987
PG,Animation|Comedy|Kids and Family,"Nov 2, 2007","Mar 11, 2008",90 minutes,2007
R,Comedy,"Apr 11, 1990","Jul 6, 2004",91 minutes,1990
PG,Comedy|Kids and Family,"Dec 21, 2005","May 23, 2006",93 minutes,2005
R,Drama|Horror|Mystery and Suspense,"Nov 16, 1984","Jun 1, 2004",103 minutes,1984
G,Animation|Drama|Kids and Family|Science Fiction and Fantasy,"Jan 1, 1988","Mar 7, 2006",87 minutes,1988
PG-13,Comedy|Drama|Romance,"Dec 25, 1985","May 16, 2000",108 minutes,1985
NR,Art House and International|Drama|Mystery and Suspense,"Jul 23, 2002","Nov 11, 2003",88 minutes,2002
NR,Horror,"Jun 21, 2009","Jul 6, 2010",76 minutes,2009
R,Art House and International|Classics|Drama|Horror|Science Fiction and Fantasy,"Jun 7, 1970","Apr 27, 2004",95 minutes,1970
PG,Comedy,"Jun 11, 2004","Dec 21, 2004",86 minutes,2004
R,Comedy,"May 31, 2013","Sep 24, 2013",95 minutes,2013
R,Art House and International|Drama|Musical and Performing Arts,"Feb 28, 1992","Aug 16, 2005",85 minutes,1992
R,Drama|Horror|Mystery and Suspense,"Jan 19, 1996","Jun 15, 1998",107 minutes,1996
NR,Classics|Drama|Romance,"Jan 1, 1946","May 24, 2005",146 minutes,1946
NR,Action and Adventure|Drama,"Feb 5, 1982","Apr 17, 2007",84 minutes,1982
R,Comedy|Romance,"Feb 6, 2015","May 5, 2015",102 minutes,2015
PG,Drama|Kids and Family,"Nov 22, 2013","Nov 4, 2014",100 minutes,2013
G,Documentary|Special Interest|Sports and Fitness,"May 5, 2000","Feb 13, 2001",45 minutes,2000
R,Horror,"Apr 1, 1982","Mar 8, 2005",85 minutes,1982
NR,Drama,"Dec 26, 1957","Feb 12, 2002",90 minutes,1957
G,Classics|Comedy|Drama|Kids and Family|Musical and Performing Arts,"Nov 3, 1971","Jun 30, 1998",179 minutes,1971
R,Comedy|Drama,"Nov 28, 2007","Apr 22, 2008",114 minutes,2007
PG,Action and Adventure|Drama|Mystery and Suspense|Television|Western,"Sep 8, 1995","Jan 15, 2002",117 minutes,1995
PG-13,Classics|Comedy,"Jul 22, 1964","Jun 9, 2009",130 minutes,1964
R,Drama,"Mar 8, 1985","Oct 10, 2000",120 minutes,1985
R,Action and Adventure|Drama|Mystery and Suspense|Romance,"Dec 21, 1979","Apr 16, 2002",121 minutes,1979
R,Art House and International|Comedy|Drama|Romance,"Aug 4, 2000","Mar 20, 2001",87 minutes,2000
NR,Drama|Romance,"Jun 26, 1998","Apr 13, 1999",127 minutes,1998
R,Action and Adventure|Mystery and Suspense,"Oct 5, 2001","Mar 12, 2002",96 minutes,2001
NR,Classics|Drama|Mystery and Suspense,"Sep 29, 1945","Jul 6, 2004",64 minutes,1945
R,Classics|Comedy|Drama|Television,"Dec 12, 1968","Aug 23, 2005",138 minutes,1968
PG-13,Classics|Comedy|Romance,"Dec 22, 1964","Jul 15, 2003",126 minutes,1964
R,Comedy|Drama,"Jan 1, 1993","Jan 23, 1996",100 minutes,1993
R,Comedy|Drama,"Jan 1, 1997","Feb 2, 1999",91 minutes,1997
PG-13,Action and Adventure|Drama|Horror|Western,"Jun 18, 2010","Oct 12, 2010",84 minutes,2010
PG-13,Comedy|Drama,"Oct 20, 1995","Dec 21, 1999",96 minutes,1995
PG,Comedy|Kids and Family,"Aug 20, 1993","Sep 3, 2002",87 minutes,1993
NR,Musical and Performing Arts|Special Interest,"Apr 20, 1930","Mar 27, 2018",93 minutes,1930
PG-13,Action and Adventure|Art House and International|Drama|Kids and Family|Mystery and Suspense,"Aug 1, 2000","Nov 21, 2000",109 minutes,2000
NR,Art House and International|Drama|Mystery and Suspense,"Nov 12, 1993","Dec 29, 1998",175 minutes,1993
PG-13,Comedy|Drama|Romance,"Feb 4, 2005","Aug 16, 2005",89 minutes,2005
PG,Action and Adventure|Animation|Comedy,"Nov 21, 2008","Mar 24, 2009",96 minutes,2008
R,Art House and International|Documentary|Special Interest,"Oct 9, 1993","Apr 27, 2004",90 minutes,1993
G,Art House and International|Drama|Romance,"Aug 17, 1979","May 31, 2005",101 minutes,1979
R,Action and Adventure|Art House and International,"Nov 1, 1974","Jan 1, 2002",92 minutes,1974
PG-13,Action and Adventure|Comedy|Drama,"Jan 17, 2003","May 27, 2003",91 minutes,2003
PG-13,Comedy|Drama,"Sep 23, 2005","Dec 13, 2005",118 minutes,2005
PG,Comedy|Drama,"Jan 30, 1987","Nov 6, 2001",96 minutes,1987
PG-13,Mystery and Suspense,"Apr 6, 2018","Jul 10, 2018",101 minutes,2018
NR,Classics|Western|Romance,"Sep 29, 1944","May 3, 2005",79 minutes,1944
PG-13,Comedy|Drama|Science Fiction and Fantasy,"Oct 23, 1998","Mar 23, 1999",125 minutes,1998
R,Drama|Mystery and Suspense,"Jul 25, 2014","Nov 4, 2014",121 minutes,2014
R,Drama|Romance,"Nov 9, 1970","Feb 28, 2006",174 minutes,1970
R,Action and Adventure|Mystery and Suspense,"Jul 20, 2018","Dec 11, 2018",129 minutes,2018
R,Action and Adventure|Drama,"Jul 30, 1976","Nov 11, 2014",100 minutes,1976
PG-13,Drama|Romance,"Feb 29, 2008","Jun 10, 2008",115 minutes,2008
PG,Action and Adventure|Comedy|Science Fiction and Fantasy,"Jun 8, 1984","Jun 29, 1999",105 minutes,1984
R,Comedy|Drama,"Dec 22, 1995","Mar 6, 2001",123 minutes,1995
G,Documentary|Special Interest,"Aug 17, 2007","Aug 1, 2017",86 minutes,2007
PG,Comedy|Drama|Romance,"Dec 23, 1988","Jun 1, 2004",121 minutes,1988
NR,Classics|Drama|Mystery and Suspense,"Feb 22, 1947","Jul 7, 2009",111 minutes,1947
PG,Action and Adventure|Science Fiction and Fantasy,"Jul 24, 1987","May 1, 2001",91 minutes,1987
R,Drama,"Jul 23, 1993","May 8, 2001",104 minutes,1993
R,Documentary|Musical and Performing Arts|Special Interest,"Dec 31, 2003","May 4, 2004",86 minutes,2003
PG-13,Comedy|Special Interest,"Mar 31, 1995","Nov 9, 1999",95 minutes,1995
PG,Drama|Mystery and Suspense|Science Fiction and Fantasy,"Jul 1, 1986","Apr 15, 1987",95 minutes,1986
R,Comedy|Drama,"May 23, 2014","Jul 22, 2014",87 minutes,2014
NR,Classics|Drama|Mystery and Suspense,"Feb 2, 1967","May 1, 2007",144 minutes,1967
PG-13,Action and Adventure|Mystery and Suspense|Romance,"Dec 10, 2010","Mar 22, 2011",103 minutes,2010
R,Drama|Mystery and Suspense,"Oct 8, 2003","Jun 8, 2004",137 minutes,2003
R,Action and Adventure|Comedy|Drama|Mystery and Suspense,"Nov 22, 1995","May 22, 2001",110 minutes,1995
PG,Classics|Drama|Western,"Jan 13, 1972","Oct 6, 1998",128 minutes,1972
PG,Art House and International|Drama,"Jan 1, 1986","Sep 11, 2001",109 minutes,1986
NR,Action and Adventure|Drama|Western,"Jan 1, 1940","Sep 29, 1998",100 minutes,1940
R,Drama,"Mar 24, 1972","Oct 9, 2001",175 minutes,1972
R,Art House and International|Drama|Mystery and Suspense,"Apr 6, 2012","Jun 18, 2012",93 minutes,2012
NR,Classics|Comedy|Musical and Performing Arts,"Nov 26, 1953","Apr 22, 2003",110 minutes,1953
R,Horror|Mystery and Suspense|Science Fiction and Fantasy,"Apr 26, 2002","Jun 1, 2004",91 minutes,2002
R,Animation|Documentary|Drama,"Feb 27, 2008","Aug 26, 2008",100 minutes,2008
R,Comedy|Romance,"Jun 1, 1990","Jan 1, 1991",94 minutes,1990
NR,Drama,"Mar 12, 2010","Aug 10, 2010",86 minutes,2010
R,Horror,"Jan 20, 2000","Dec 11, 2001",84 minutes,2000
R,Comedy|Drama|Mystery and Suspense,"Sep 27, 1996","Aug 7, 2001",107 minutes,1996
R,Drama|Mystery and Suspense|Science Fiction and Fantasy,"Oct 1, 1999","Dec 7, 1999",93 minutes,1999
NR,Classics|Drama|Mystery and Suspense,"Jan 1, 1949","Oct 27, 2009",79 minutes,1949
PG-13,Comedy,"Jul 28, 2017","Nov 14, 2017",97 minutes,2017
PG-13,Comedy|Drama|Mystery and Suspense,"Mar 14, 2014","May 6, 2014",108 minutes,2014
NR,Drama|Musical and Performing Arts,"Apr 1, 1952","Aug 3, 1994",86 minutes,1952
R,Action and Adventure|Classics|Western,"Apr 4, 1959","May 8, 2001",142 minutes,1959
R,Drama|Mystery and Suspense,"Dec 29, 1971","Mar 13, 2001",118 minutes,1971
PG-13,Comedy|Drama,"Feb 28, 1986","Aug 20, 2002",96 minutes,1986
R,Comedy|Drama,"Oct 3, 1993","Nov 16, 2004",184 minutes,1993
G,Kids and Family,"Apr 3, 1998","Sep 1, 1998",75 minutes,1998
R,Comedy,"Mar 21, 1995","Aug 18, 1998",93 minutes,1995
R,Comedy,"Dec 21, 1990","Nov 6, 2001",126 minutes,1990
PG,Comedy|Romance,"Apr 19, 2002","Feb 11, 2003",95 minutes,2002
PG,Comedy|Science Fiction and Fantasy,"May 22, 1992","May 15, 2001",88 minutes,1992
NR,Art House and International|Drama,"Oct 2, 1993","Jan 14, 2003",150 minutes,1993
PG-13,Art House and International|Drama,"Jan 1, 2001","Jun 7, 2005",104 minutes,2001
PG,Animation|Kids and Family,"May 20, 2016","Aug 16, 2016",95 minutes,2016
PG,Comedy|Kids and Family,"Oct 4, 1996","Sep 3, 2002",104 minutes,1996
PG-13,Drama|Horror,"Jan 9, 2009","Apr 7, 2009",100 minutes,2009
PG,Drama,"Oct 24, 2003","Jan 27, 2004",109 minutes,2003
R,Comedy|Mystery and Suspense,"Jul 27, 2012","Dec 21, 2012",102 minutes,2012
PG,Drama,"Dec 14, 1984","Mar 20, 2001",164 minutes,1984
NR,Documentary|Drama|Special Interest,"Jul 1, 2011","Apr 24, 2012",93 minutes,2011
R,Action and Adventure|Drama|Mystery and Suspense,"Dec 19, 1990","Dec 26, 2001",122 minutes,1990
PG,Action and Adventure|Science Fiction and Fantasy,"Aug 7, 1987","Oct 23, 2001",109 minutes,1987
R,Comedy|Romance,"Sep 17, 2010","Jan 18, 2011",91 minutes,2010
PG-13,Horror|Mystery and Suspense|Science Fiction and Fantasy,"Jan 24, 2014","May 13, 2014",92 minutes,2014
R,Horror|Mystery and Suspense,"Mar 28, 1980","Aug 21, 2001",114 minutes,1980
R,Horror|Mystery and Suspense,"Jun 9, 1978","Sep 4, 2001",110 minutes,1978
R,Drama|Mystery and Suspense,"Jan 9, 2015","Apr 28, 2015",148 minutes,2015
NR,Art House and International|Drama,"Sep 20, 1962","Aug 11, 1998",85 minutes,1962
PG,Action and Adventure|Kids and Family|Science Fiction and Fantasy|Western,"Mar 24, 1995","Aug 26, 2008",98 minutes,1995
PG,Comedy,"Nov 25, 1987","Apr 2, 2002",102 minutes,1987
R,Drama|Mystery and Suspense,"Jan 1, 1993","May 15, 2001",95 minutes,1993
NR,Action and Adventure|Classics|Comedy|Drama,"Jun 7, 1940","Mar 25, 2008",91 minutes,1940
R,Action and Adventure|Drama,"Dec 5, 1986","Oct 1, 2002",130 minutes,1986
NR,Art House and International|Drama,"Feb 16, 1988","Apr 25, 2006",116 minutes,1988
R,Action and Adventure|Drama|Western,"Aug 20, 1993","Sep 2, 2003",120 minutes,1993
R,Comedy,"Jul 4, 2001","Dec 18, 2001",82 minutes,2001
R,Comedy|Drama|Musical and Performing Arts,"Mar 4, 1994","Jul 5, 2005",105 minutes,1994
PG,Art House and International|Classics|Comedy|Drama|Musical and Performing Arts|Science Fiction and Fantasy|Romance,"Dec 21, 1959","Jun 8, 1999",120 minutes,1959
R,Comedy,"Aug 4, 2017","Aug 4, 2017",89 minutes,2017
R,Comedy,"Jun 26, 2015","Dec 15, 2015",120 minutes,2015
R,Drama|Mystery and Suspense,"Sep 28, 2001","Feb 19, 2002",110 minutes,2001
NR,Art House and International|Comedy,"Jan 1, 1983","Sep 9, 2003",116 minutes,1983
R,Art House and International|Horror,"Jan 1, 1987","Oct 24, 2000",90 minutes,1987
NR,Action and Adventure|Classics,"Mar 8, 1926","Oct 12, 1999",122 minutes,1926
NR,Classics|Comedy,"Mar 12, 1967","Jul 22, 2008",101 minutes,1967
R,Drama|Mystery and Suspense,"Oct 11, 1996","Aug 27, 1997",117 minutes,1996
NR,Action and Adventure|Art House and International|Comedy|Mystery and Suspense|Science Fiction and Fantasy,"Dec 10, 1965","Dec 31, 2001",92 minutes,1965
R,Drama|Musical and Performing Arts,"Nov 6, 1998","May 18, 1999",119 minutes,1998
NR,Drama|Romance,"Aug 13, 2010","Jun 7, 2011",105 minutes,2010
NR,Action and Adventure,"Apr 20, 2009","Dec 8, 2009",85 minutes,2009
NR,Art House and International|Comedy|Drama,"Jan 1, 2003","Aug 16, 2005",114 minutes,2003
PG,Kids and Family|Science Fiction and Fantasy,"Jun 1, 1985","Oct 4, 2005",108 minutes,1985
R,Documentary|Musical and Performing Arts,"Oct 8, 1997","Oct 13, 1998",106 minutes,1997
NR,Western,"Aug 12, 1938","Aug 29, 1995",92 minutes,1938
R,Drama|Mystery and Suspense,"Jan 12, 1990","Mar 9, 1999",114 minutes,1990
R,Art House and International|Horror|Mystery and Suspense,"Aug 17, 2012","Jan 29, 2013",107 minutes,2012
PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,"Jul 18, 2001","Dec 11, 2001",92 minutes,2001
R,Action and Adventure|Mystery and Suspense,"Mar 8, 1991","Dec 6, 2005",99 minutes,1991
R,Art House and International|Comedy|Drama|Romance,"Sep 12, 1997","Feb 13, 2001",92 minutes,1997
PG-13,Comedy|Romance,"Feb 6, 2015","Feb 9, 2015",100 minutes,2015
PG,Comedy|Cult Movies|Mystery and Suspense|Science Fiction and Fantasy,"Sep 16, 1983","Nov 20, 2001",94 minutes,1983
NR,Action and Adventure|Classics|Drama|Romance,"Dec 26, 1941","Mar 27, 2007",65 minutes,1941
NR,Classics|Comedy|Drama|Romance,"Jun 15, 1960","Jun 19, 2001",125 minutes,1960
NR,Art House and International|Comedy|Drama,"Jan 1, 1999","May 2, 2006",117 minutes,1999
NR,Documentary|Drama|Special Interest,"Jun 18, 2006","Apr 17, 2007",60 minutes,2006
R,Comedy,"Jun 1, 1978","Feb 24, 1998",109 minutes,1978
PG,Horror|Science Fiction and Fantasy,"Jan 1, 1967","Jun 15, 2000",86 minutes,1967
NR,Documentary,"Oct 13, 2006","May 8, 2007",101 minutes,2006
PG-13,Action and Adventure|Science Fiction and Fantasy,"Nov 26, 2003","Apr 13, 2004",116 minutes,2003
R,Drama,"Jul 13, 2016","Oct 11, 2016",127 minutes,2016
R,Action and Adventure|Drama|Mystery and Suspense,"Sep 3, 1993","Oct 28, 1997",125 minutes,1993
R,Comedy,"May 20, 2016","Sep 20, 2016",92 minutes,2016
PG,Classics|Western,"May 7, 1958","Nov 14, 2006",102 minutes,1958
R,Art House and International|Drama,"Jun 2, 2001","Jan 24, 2006",118 minutes,2001
NR,Classics|Drama|Mystery and Suspense,"Jan 1, 1937","Aug 9, 2005",110 minutes,1937
NR,Art House and International|Classics|Comedy|Drama,"Oct 27, 1963","Mar 8, 2005",88 minutes,1963
G,Action and Adventure|Animation|Comedy|Kids and Family|Science Fiction and Fantasy,"Dec 31, 1985","Aug 6, 2002",76 minutes,1985
R,Drama,"May 18, 2018","Aug 21, 2018",108 minutes,2018
NR,Classics|Comedy|Drama|Musical and Performing Arts,"Apr 2, 1966","Sep 12, 2011",98 minutes,1966
PG-13,Comedy,"Jan 25, 2008","Jun 3, 2008",84 minutes,2008
NR,Art House and International|Comedy|Drama|Romance,"Feb 11, 1980","Sep 4, 2001",145 minutes,1980
R,Art House and International|Comedy|Drama,"Jun 26, 1998","Feb 1, 2000",110 minutes,1998
PG,Comedy|Drama,"Sep 26, 1980","Jul 5, 2000",88 minutes,1980
R,Comedy|Drama|Sports and Fitness,"Aug 3, 1979","Jan 30, 2001",119 minutes,1979
R,Art House and International|Comedy|Drama,"Oct 19, 2007","Mar 25, 2008",91 minutes,2007
PG-13,Art House and International|Classics|Drama|Romance,"Nov 2, 2007","Nov 11, 2008",121 minutes,2007
R,Comedy|Drama,"Dec 1, 2017","Feb 27, 2018",115 minutes,2017
R,Action and Adventure|Mystery and Suspense,"Aug 13, 2010","Nov 23, 2010",103 minutes,2010
PG-13,Classics|Comedy|Drama,"Aug 10, 1960","May 13, 2008",128 minutes,1960
NR,Classics|Comedy|Musical and Performing Arts|Romance,"Oct 26, 1956","Jan 30, 1991",117 minutes,1956
NR,Horror,"Oct 1, 2012","Feb 19, 2014",90 minutes,2012
R,Drama,"Mar 11, 2016","Jun 14, 2016",95 minutes,2016
R,Art House and International|Comedy|Drama|Mystery and Suspense,"Nov 20, 2009","Mar 16, 2010",128 minutes,2009
R,Drama|Mystery and Suspense,"Nov 6, 1992","Apr 11, 2000",125 minutes,1992
PG,Drama,"Jan 1, 1990","Jun 13, 1991",102 minutes,1990
R,Comedy|Drama|Romance,"Nov 9, 1990","Feb 19, 1992",110 minutes,1990
R,Comedy|Science Fiction and Fantasy,"Feb 2, 1990","Nov 9, 2004",95 minutes,1990
R,Drama,"Oct 23, 2015","Feb 2, 2016",100 minutes,2015
R,Comedy|Drama,"Jun 23, 2006","Sep 12, 2006",88 minutes,2006
R,Action and Adventure|Drama|Mystery and Suspense,"Jul 25, 1997","Feb 1, 1998",124 minutes,1997
R,Comedy,"Sep 22, 1995","May 22, 2001",95 minutes,1995
PG,Classics|Drama|Mystery and Suspense|Romance,"Jan 1, 1958","Mar 31, 1998",128 minutes,1958
NR,Comedy|Drama|Romance,"Jul 27, 2001","Feb 19, 2013",123 minutes,2001
